,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,overfit_factor
1503,0.08211264610290528,0.003643228442785417,0.0038589000701904296,0.000722705613067126,7,11,40,"{'max_depth': 7, 'max_features': 11, 'n_estimators': 40}",0.63754889178618,0.6292916123424599,0.6728558797524314,0.6038903625110521,0.7228116710875332,0.6532796834959314,0.04118280017468143,2945,0.9996698580389568,0.9996423462088698,0.9993973263204032,0.9996986631602016,0.999945211483673,0.999670681042421,0.00017417020770842874,1.5302338436316105
1504,0.10268931388854981,0.0022557257487094183,0.004756450653076172,0.000983160968172908,7,11,50,"{'max_depth': 7, 'max_features': 11, 'n_estimators': 50}",0.6870925684485006,0.6679704476314645,0.6370468611847923,0.6047745358090185,0.6993810786914234,0.6592530983530398,0.034416024830625364,2375,1.0,0.9996973698690437,0.9998082401928555,0.9999726057418366,0.9995342976112207,0.9998025026829913,0.00017375846970182858,1.5165685306306778
1505,0.12798018455505372,0.004510598358904734,0.005943012237548828,0.001185449786209504,7,11,60,"{'max_depth': 7, 'max_features': 11, 'n_estimators': 60}",0.7101260321599304,0.6210343328987398,0.6472148541114058,0.6534040671971706,0.7099911582670204,0.6683540889268533,0.03574372810316826,1259,1.0,0.9999174645097392,0.999890422967346,0.9996438746438747,0.9998630287091825,0.9998629581660285,0.00011874621318596208,1.4960078418484195
1506,0.14876327514648438,0.0012355361605484783,0.006100893020629883,0.0011341033862244756,7,11,70,"{'max_depth': 7, 'max_features': 11, 'n_estimators': 70}",0.6744893524554542,0.6297262059973925,0.6414677276746242,0.6308576480990274,0.6834659593280283,0.6520013787109054,0.02258285749990725,3055,0.9999724881699131,0.9997523935292175,0.999835634451019,0.9996712689020382,1.0,0.9998463570104376,0.00012578965968527563,1.5335034398044811
1507,0.1701916217803955,0.002241358743785599,0.007081460952758789,0.0008661222336995673,7,11,80,"{'max_depth': 7, 'max_features': 11, 'n_estimators': 80}",0.6823120382442417,0.6392872664059105,0.6295313881520778,0.6317418213969938,0.6936339522546419,0.6553012932907731,0.027109256242183532,2789,0.9999724881699131,0.9995322988885221,0.9999726057418366,0.9998356344510191,0.9998904229673461,0.9998406900437274,0.00016271233806434626,1.5257724962249903
1508,0.1957632064819336,0.0037291177118715163,0.00813121795654297,0.0008663187988624275,7,11,90,"{'max_depth': 7, 'max_features': 11, 'n_estimators': 90}",0.6623207301173403,0.6462407648848326,0.6290893015030946,0.6883289124668436,0.7250221043324492,0.6702003626609121,0.033646212155610984,1026,1.0,0.999587322548696,0.9998356344510191,0.9996712689020382,1.0,0.9998188451803507,0.00016810562385763484,1.4918208059612899
1509,0.2130819320678711,0.006219063355005746,0.008233880996704102,0.0010142774441984843,7,11,100,"{'max_depth': 7, 'max_features': 11, 'n_estimators': 100}",0.6710126032159931,0.6275532377227293,0.6538461538461539,0.6436781609195402,0.6949602122015915,0.6582100735812016,0.02317127238448936,2490,1.0,0.9999724881699131,0.9998630287091826,0.999890422967346,1.0,0.9999451879692882,5.745148881358545e-05,1.5191885206629667
1510,0.2340578556060791,0.003910135243523758,0.009824275970458984,0.0005558976097970822,7,11,110,"{'max_depth': 7, 'max_features': 11, 'n_estimators': 110}",0.6949152542372881,0.6288570186875272,0.6679929266136162,0.632183908045977,0.7007073386383731,0.6649312892445562,0.030206229363760738,1711,1.0,0.9998074171893915,0.9994795090948937,0.9999452114836731,0.9999452114836731,0.9998354698503263,0.00018902467221216116,1.503667350330682
1511,0.25595760345458984,0.006090959661420391,0.010338592529296874,0.0015758821442419448,7,11,120,"{'max_depth': 7, 'max_features': 11, 'n_estimators': 120}",0.7183833116036505,0.6245110821382007,0.6237842617152961,0.6463306808134395,0.7431476569407603,0.6712313986422695,0.04989852829246819,920,1.0,0.9998349290194785,0.9999178172255095,1.0,0.9999452114836731,0.9999395915457322,6.125081521005822e-05,1.4897092024722856
1512,0.2767686367034912,0.006547369582800681,0.01154637336730957,0.001628274829098173,7,11,130,"{'max_depth': 7, 'max_features': 11, 'n_estimators': 130}",0.6801390699695784,0.626684050412864,0.6839080459770116,0.6538461538461539,0.7046861184792219,0.6698526877369659,0.02696839271289459,1068,1.0,0.9997248816991307,0.9998082401928555,0.9999178172255095,0.999890422967346,0.9998682724169683,9.429979529216226e-05,1.4926688967912167
